x,y,z
-0.0035443409436567803,3.9994331714318465e-13,0.0
-0.0036676479087840433,3.1820360155580153e-13,0.0
-0.0038525503566613937,1.8119875542021906e-13,0.0
-0.003975298632733103,8.040581551610549e-14,0.0
-0.004157845536583984,-8.458206526983878e-14,0.0
-0.004278054572603666,-2.034631863452098e-13,0.0
-0.004455442172461233,-3.9443647585379485e-13,0.0
-0.004571388418730131,-5.297225892777168e-13,0.0
-0.004685230425341866,-6.710259697647754e-13,0.0
-0.004851657136576283,-8.929327348202228e-13,0.0
-0.004959512140210279,-1.0468870706940188e-12,0.0
-0.005116408370860453,-1.2858013675343733e-12,0.0
-0.005217672973744989,-1.4496382995949635e-12,0.0
-0.0053645548517079035,-1.7008037641792612e-12,0.0
-0.005459188893570896,-1.871875107160924e-12,0.0
-0.005596413819333621,-2.1406884452526555e-12,0.0
-0.005684926189054688,-2.3210668224061758e-12,0.0
-0.005813643323661088,-2.5820202096577655e-12,0.0
-0.00589704192871951,-2.7502290817626684e-12,0.0
-0.006019094915647769,-2.9990647734991497e-12,0.0
-0.006098809554201864,-3.1596088103447137e-12,0.0
-0.006216603575339125,-3.3927538861659696e-12,0.0
-0.006294385144949245,-3.5484402432018742e-12,0.0
-0.0064107190476771795,-3.792542472760752e-12,0.0
-0.006488517305572444,-3.959302564129653e-12,0.0
-0.00656688587454538,-4.123987161554662e-12,0.0
-0.006686207121441416,-4.3599834432772626e-12,0.0
-0.006767388823779293,-4.506766155772845e-12,0.0
-0.006892359513236197,-4.7074811710634555e-12,0.0
-0.006978213921356649,-4.8309598682976376e-12,0.0
-0.007111447593559058,-5.026174665869909e-12,0.0
-0.007203570392911348,-5.156709302529611e-12,0.0
-0.00734719249322153,-5.341571871408027e-12,0.0
-0.007446798633059922,-5.45774679590209e-12,0.0
-0.00760229928531425,-5.6257258989971014e-12,0.0
-0.00771014600046241,-5.734672779720779e-12,0.0
-0.00787828307249716,-5.893186933668965e-12,0.0
-0.007994613157824891,-5.9952635054029875e-12,0.0
-0.00817534872399539,-6.143019297386372e-12,0.0
-0.008299869505757524,-6.238070563084943e-12,0.0
-0.008492373107124791,-6.375679045700694e-12,0.0
-0.00862428006246185,-6.464181748305773e-12,0.0
-0.008826992811342856,-6.592051713840974e-12,0.0
-0.008965029694616785,-6.6739513825345316e-12,0.0
-0.00910508204149253,-6.753070471214575e-12,0.0
-0.009318325391639593,-6.8662974766495295e-12,0.0
-0.009462163604552895,-6.93796150978698e-12,0.0
-0.009679656186584187,-7.0393608094902125e-12,0.0
-0.0098253405394522,-7.102661952315368e-12,0.0
-0.010044090009795175,-7.190742790644868e-12,0.0
-0.010189600170981455,-7.244631632995366e-12,0.0
-0.010406589000677546,-7.317793823732472e-12,0.0
-0.010549951438891559,-7.361220388304357e-12,0.0
-0.010762325835851719,-7.417965311106213e-12,0.0
-0.01090173656756842,-7.45000631338059e-12,0.0
-0.011106982709122705,-7.48910927359268e-12,0.0
-0.011240917703972578,-7.509077594633048e-12,0.0
-0.011437013653371143,-7.52972257322291e-12,0.0
-0.0115643192966825,-7.537224074913836e-12,0.0
-0.011749851883134172,-7.539058282944347e-12,0.0
-0.011869809075225906,-7.53402210751015e-12,0.0
-0.01198672998155632,-7.524016385379149e-12,0.0
-0.012156405233081778,-7.49980381029744e-12,0.0
-0.012265758535240066,-7.477624044062688e-12,0.0
-0.012424303777372811,-7.435501574720726e-12,0.0
-0.012526488575873795,-7.401650890267209e-12,0.0
-0.012674826672605137,-7.342461229702054e-12,0.0
-0.012770661287130038,-7.297536129468433e-12,0.0
-0.01291029633087511,-7.2221997185762134e-12,0.0
-0.013000948995782637,-7.166797849218119e-12,0.0
-0.013133846253996993,-7.0761147558709145e-12,0.0
-0.013220746565172201,-7.010714192215859e-12,0.0
-0.013349187318079605,-6.90533480559096e-12,0.0
-0.013433921662415318,-6.83028706613648e-12,0.0
-0.013560338976684889,-6.710592038826899e-12,0.0
